# Ukrainian translation of Terminals user interface.
# Format: english source text [TAB] translation. Escapes: 
 new line, 	 tab, \ backslash.
Default Desktop Share (Use %SERVER% and %USER%):	Типова спільна тека (можна використовувати %SERVER% і %USER%):
Evaluated Desktop Share (according to selected connection tab):	Обчислена спільна тека (для вибраної вкладки з’єднання):
Port Scanner Timeout (0-60 seconds):	Тайм-аут сканера портів (0-60 секунд):
RDP Desktop Share	Спільна тека RDP
Show confirm dialog on close or warn on disconnect	Запитувати підтвердження під час закриття й відключення
Validate Server Names	Перевіряти імена серверів
Auto Expand (show) Favorites Panel, when hidden	Автоматично розгортати (показувати) приховану панель обраного
Auto-Case Favorite Groups	Автоматичний регістр назв груп
Connection Name	Назва з’єднання
Enable Favorites Panel	Показувати панель обраного
Favorites Sort	Сортування обраного
None	Немає
Server Name	Ім’я сервера
Authorize...	Авторизувати...
Complete...	Завершити...
First you must first Authorize Terminals with your Flickr account. Press the Authorize button now, login to your Flickr Account and allow Terminals limited access to your account.	Спершу авторизуйте Terminals у вашому обліковому записі Flickr. Натисніть «Авторизувати», увійдіть у Flickr і надайте Terminals обмежений доступ до облікового запису.
Second you must click the Complete button to finish the process. Only do this AFTER you have accepted Terminals access to your account on the Flickr Web Site.	Потім натисніть «Завершити», щоб закінчити процес. Робіть це лише ПІСЛЯ того, як надасте Terminals доступ на сайті Flickr.
Use Flickr as storage place for screen captures.	Використовувати Flickr як сховище знімків екрана.
User authenticated successfully	Користувача успішно автентифіковано
User authenticated successfully. Authentication token is {0}. User id is {1}, username is {2}	Користувача успішно автентифіковано. Токен: {0}. Ідентифікатор користувача: {1}, ім’я: {2}
User did not authenticate you{0}	Користувач вас не автентифікував {0}
Enable Groups Menu	Показувати меню груп
Information	Відомості
Minimize To Tray	Згортати в системний лоток
Normal	Звичайна
Office Black	Office чорна
Office Blue	Office синя
Show  user name in tab title	Показувати ім’я користувача в заголовку вкладки
Show connection information in tool tips	Показувати відомості про з’єднання в підказках
Show full information	Показувати повні відомості
System Tray	Системний лоток
Theme	Тема
Language	Мова
Automatic (Windows language)	Автоматично (мова Windows)
The change is applied after restart.	Зміни набудуть чинності після перезапуску.
Password Protect	Захист паролем
Passwords do not match	Паролі не збігаються
Passwords match	Паролі збігаються
Passwords do not match!	Паролі не збігаються!
Passwords match!	Паролі збігаються!
Advanced	Додатково
Authentication:	Автентифікація:
Create new DB	Створити нову БД
Database password:	Пароль бази даних:
Database:	База даних:
Files in local profile	Файли в локальному профілі
Microsoft SQL database server:	Сервер бази даних Microsoft SQL:
Querying...	Запит...
Select where to store application data	Виберіть, де зберігати дані програми
Set password	Встановити пароль
Test connection	Перевірити з’єднання
Testing...	Перевірка...
To apply this options you have to restart the application!	Щоб застосувати ці параметри, перезапустіть програму!
Test connection succeeded.	Перевірка з’єднання пройшла успішно.
Test connection succeeded. (Version: {0})	Перевірка з’єднання пройшла успішно. (Версія: {0})
Test database failed.\nReason:{0}	Перевірка бази даних не вдалася.\nПричина: {0}
There was an error, when setting new password:\n{0}	Помилка під час встановлення нового пароля:\n{0}
Password was applied successfuly.	Пароль успішно застосовано.
Set new database password	Встановлення нового пароля бази даних
Terminals - Sql connection test	Terminals - перевірка підключення до SQL
Select plugins you want to use.\nYou need to select atleast one of them.\nTo apply you need restart the application.\nAfter disable and enable some plugin some data may be lost.	Виберіть плагіни, які бажаєте використовувати.\nПотрібно вибрати принаймні один.\nЗміни набудуть чинності після перезапуску програми.\nПісля вимкнення й повторного ввімкнення плагіна частину даних може бути втрачено.
Address:	Адреса:
Automatically Detect Proxy	Автоматично визначати проксі
Use the following Proxy Server:	Використовувати такий проксі-сервер:
Allow a single instance of the application (needs restart)	Дозволити лише один екземпляр програми (потрібен перезапуск)
Do not keep me up-to-date on Terminals project	Не повідомляти про нові версії Terminals
Save connections on close	Зберігати з’єднання під час закриття
Show close confirmation dialog	Запитувати підтвердження під час закриття
Many times you may find that you are accesing terminals within a Domain, or just use the same credentials for many connections. In this option you can set the default credentials which Terminals will use to initiate connections where no credentials are supplied.\n\nHere you can set the default user, domain and password.	Часто термінали доступні в межах домену або для багатьох з’єднань використовуються ті самі облікові дані. Тут можна задати типові облікові дані, які Terminals використовуватиме для з’єднань без власних облікових даних.\n\nЗадайте типового користувача, домен і пароль.
Comments:	Коментарі:
Copy Image path to clipboard	Копіювати шлях до зображення
Copy Image to clipboard	Копіювати зображення
Delete Folder	Видалити теку
New Folder	Нова тека
Selected picture:	Вибране зображення:
View:	Вигляд:
Zoom:	Масштаб:
Post selected images to Flickr	Опублікувати вибрані зображення у Flickr
Change the size of image thumbnails	Змінити розмір мініатюр
Delete the iamge comments from disk	Видалити коментарі зображення з диска
Save image comments to the disk	Зберегти коментарі зображення на диск
Select image list view mode	Виберіть режим перегляду списку зображень
Selected picture preview	Попередній перегляд вибраного зображення
Write you comments here.\nThey will be stored in the \nimage folder.	Введіть коментарі.\nВони зберігатимуться в \nтеці зображень.
Are you sure you want to post {0} images to your Flickr account?	Ви дійсно бажаєте опублікувати зображення ({0}) у своєму обліковому записі Flickr?
All images have been uploaded to Flickr.	Усі зображення вивантажено у Flickr.
All items have been queued for upload to Flickr.  Once the upload has been completed you will be notified.	Усі елементи поставлено в чергу на вивантаження у Flickr.  Після завершення ви отримаєте сповіщення.
Confirmation Required	Потрібне підтвердження
There was an error uploading your screen shots to Flickr:\n{0}	Помилка вивантаження знімків екрана у Flickr:\n{0}
You must first select a screen capture to upload.	Спершу виберіть знімок екрана для вивантаження.
Capture failed	Не вдалося зробити знімок
The folder "{0}" contains {1} directories.	Тека «{0}» містить підтек: {1}.
The folder "{0}" contains {1} files.	Тека «{0}» містить файлів: {1}.
Import selected	Імпортувати вибрані
&Import selected	&Імпортувати вибрані
LDAP Filter:	Фільтр LDAP:
Progress...	Перебіг...
Search root:	Корінь пошуку:
Terminals - Active Directory Tool	Terminals - інструмент Active Directory
This dialog allows you to import Computers from your Active Directory Domain directly into Terminals.	Це вікно дає змогу імпортувати комп’ютери з вашого домену Active Directory безпосередньо в Terminals.
Scan	Сканувати
&Scan	&Сканувати
Scan canceled.	Сканування скасовано.
Canceling scan...	Скасування сканування...
Contacting domain...	Зв’язок із доменом...
Scan complete, {0} computers found.	Сканування завершено, знайдено комп’ютерів: {0}.
Scaning... {0} computers found.	Сканування... знайдено комп’ютерів: {0}.
Domain name to contact. Doesnt have to be fully qualified domain name.	Ім’я домену для підключення. Не обов’язково повне доменне ім’я.
LDAP search filter to use. Use default value to obtain all computers only.	Фільтр пошуку LDAP. Типове значення повертає всі комп’ютери.
Set Filter, Domain and Maximum results to default values.\n	Повернути типові значення фільтра, домену й максимальної кількості результатів.\n
Start or interupt the scan	Запустити або перервати сканування
All protocols	Усі протоколи
Client	Клієнт
Connect to Server	Підключитися до сервера
Direct Connection	Пряме з’єднання
From:	Від:
To:	До:
Groups...	Групи...
Host name	Ім’я вузла
IP Address:	IP-адреса:
IP address	IP-адреса
IP address range:	Діапазон IP-адрес:
Modify the IP Range, and hit Scan	Змініть діапазон IP-адрес і натисніть «Сканувати»
Optional Groups:	Додаткові групи:
Port Scanner	Сканер портів
Server	Сервер
Server is OFFLINE.	Сервер ВИМКНЕНО.
Server is OFFLINE	Сервер ВИМКНЕНО
Server is ONLINE	Сервер УВІМКНЕНО
Service	Служба
Start Server	Запустити сервер
Stop Server	Зупинити сервер
Step 1: Start the "Server" by hitting the "Start Server" button below.	Крок 1: запустіть «сервер» кнопкою «Запустити сервер» нижче.
Step 2: On the machine which you would like to share your connections with, place your IP address in the "IP Address" box on the right, and then it the "Connect to Server" button.	Крок 2: на комп’ютері, з яким бажаєте поділитися з’єднаннями, введіть свою IP-адресу в поле «IP-адреса» праворуч і натисніть «Підключитися до сервера».
Terminals - Network Scanner	Terminals - сканер мережі
You can use this form to establish a direct connection with another machine on the network in order to share connections.	Ця форма дає змогу встановити пряме з’єднання з іншим комп’ютером у мережі, щоб поділитися з’єднаннями.
Scan Stopped.	Сканування зупинено.
Initiating Scan...	Запуск сканування...
Pending items:{0}	Очікує: {0}
Completed scan, found: {0} items.	Сканування завершено, знайдено: {0}.
Could not connect to the remote server.  Make sure the server is online.	Не вдалося підключитися до віддаленого сервера.  Переконайтеся, що сервер увімкнено.
Logoff Session	Завершити сеанс
Reboot Server	Перезавантажити сервер
Shutdown Server	Вимкнути сервер
Terminal Server:	Сервер терміналів:
Are you sure you want to log off the selected session?	Ви дійсно бажаєте завершити вибраний сеанс?
Are you sure you want to reboot this server?	Ви дійсно бажаєте перезавантажити цей сервер?
Are you sure you want to shutdown this server?	Ви дійсно бажаєте вимкнути цей сервер?
This machine does not appear to be a Terminal Server	Схоже, цей комп’ютер не є сервером терміналів
Host:	Вузол:
Lookup	Пошук
Nameserver:	DNS-сервер:
Could not resolve host.	Не вдалося визначити вузол.
Time Server:	Сервер часу:
Device:	Пристрій:
Dump to File	Записувати у файл
Filter:	Фільтр:
Filtering Help	Довідка з фільтрів
Header	Заголовок
Hex View	Шістнадцятковий вигляд
Promiscuous	Нерозбірливий режим
Start Capture	Почати захоплення
Stop Capture	Зупинити захоплення
Text View	Текстовий вигляд
Failed to set the filter: {0}	Не вдалося встановити фільтр: {0}
Terminals Packet Capture is not configured to work with this system (Bad Image Format Exception)	Захоплення пакетів Terminals не налаштовано для цієї системи (Bad Image Format Exception)
Packets	Пакети
Packet Capture is either not install or not supported on this version of windows.	Захоплення пакетів не встановлено або воно не підтримується цією версією Windows.
It appears that WinPcap is not installed.  In order to use this feature within Terminals you must first install that product.  Do you wish to visit the download location right now?	Схоже, WinPcap не встановлено.  Щоб використовувати цю функцію Terminals, спершу встановіть WinPcap.  Перейти на сторінку завантаження?
Download WinPcap?	Завантажити WinPcap?
Open dump file in notepad?	Відкрити файл дампа в Блокноті?
Delay:	Затримка:
Graph	Графік
Raw Results	Необроблені результати
Ping results	Результати ping
Ping results for {0}	Результати ping для {0}
Counter	Лічильник
Time, Milliseconds	Час, мілісекунди
Ping Error	Помилка ping
An error occured trying to ping {0}	Помилка під час ping {0}
Could not resolve address: {0}	Не вдалося визначити адресу: {0}
Hostname or IP-Address is invalid: {0}	Неправильне ім’я вузла або IP-адреса: {0}
Addresses:	Адреси:
Copy Remote Address	Копіювати віддалену адресу
Ports:	Порти:
Outsanding Requests:{0}	Незавершені запити: {0}
Port scanner requires administrative priviledges to run!	Для роботи сканера портів потрібні права адміністратора!
Terminals - port scanner	Terminals - сканер портів
DNS Lookup	Запит DNS
Interfaces	Інтерфейси
Services	Служби
Shares	Спільні ресурси
System	Система
Time	Час
Wake on Lan	Wake on LAN
Whois	Whois
&Whois	&Whois
Resolve Host Names	Визначати імена вузлів
Trace Route results	Результати трасування
Trace Route results for {0}	Результати трасування для {0}
MAC Address:	MAC-адреса:
There was an error sending the Magic Packet{0}	Помилка надсилання Magic Packet {0}
{0} bytes sent to {1}	Надіслано байтів: {0} на {1}
Loading shares	Завантаження спільних ресурсів
Unable to loads shares for remote compuer.	Не вдалося завантажити спільні ресурси віддаленого комп’ютера.
&Login	&Увійти
Login...	Вхід...
Machine Name:	Ім’я комп’ютера:
&Clear	&Очистити
&History	&Історія
&Query	&Запит
L&oad	&Завантажити
Load Static Class Tree	Завантажити дерево статичних класів
Locate History File...	Знайти файл історії...
Error Thrown:{0}	Виникла помилка: {0}
History Cleared.	Історію очищено.
History Saved.	Історію збережено.
Automatic Discovery is running.  To stop this, just hit cancel below.	Триває автоматичне виявлення.  Щоб зупинити його, натисніть «Скасувати» нижче.
Discovered Connections:	Виявлені з’єднання:
Pending Requests:	Незавершені запити:
Please wait while Automatic Discovery is running.  Once this is complete this window will close automatically.	Зачекайте, доки триває автоматичне виявлення.  Після завершення це вікно закриється автоматично.
Welcome to Terminals	Ласкаво просимо до Terminals
Welcome to Terminals...	Ласкаво просимо до Terminals...
Allow a single instance of the application	Дозволити лише один екземпляр програми
Automatically switch to Capture Manager	Автоматично відкривати менеджер знімків
Below are a few of the more common options which you should take time now to tweak according to your needs.	Нижче наведено кілька поширених параметрів, які варто одразу налаштувати під себе.
Import RDP Connections from registry	Імпортувати RDP-з’єднання з реєстру
Load default shortcuts	Завантажити типові ярлики
Minimize to tray	Згортати в системний лоток
Warn on disconnect	Попереджати під час відключення
Confirmation:	Підтвердження:
Enable Master Password	Увімкнути головний пароль
Master Password:	Головний пароль:
Strength:	Надійність:
Terminals is a multi tab terminal services/remote desktop client.  It also includes the ability to connect to VNC, VMRC, Telnet, SSH, RAS, and ICA Citrix connections.	Terminals - багатовкладковий клієнт служб терміналів і віддаленого робочого столу.  Він також уміє підключатися через VNC, VMRC, Telnet, SSH, RAS і ICA Citrix.
This wizard is intended to help you get started with the tool.  If, at any time, you want to skip this just hit cancel.	Цей майстер допоможе почати роботу з програмою.  Щоб пропустити його, будь-коли натисніть «Скасувати».
By setting your Master Password allows Terminals to store your connection information in a much more secure manner.  Although it is not required, it is highly recommended that you do set it now.	Головний пароль дає змогу Terminals зберігати відомості про з’єднання значно надійніше.  Він не обов’язковий, але його наполегливо рекомендується встановити зараз.
Many times you may find that you are accesing terminals within a Domain, or just use the same credentials for many connections.  In this form you can set the default credentials which Terminals will use to initiate connections where no credentials are supplied.\n\nThis is not a required step.	Часто термінали доступні в межах домену або для багатьох з’єднань використовуються ті самі облікові дані.  Тут можна задати типові облікові дані, які Terminals використовуватиме для з’єднань без власних облікових даних.\n\nЦей крок не обов’язковий.
Terminals Confirmation	Підтвердження Terminals
Automatic Discovery was able to find {0} connections.\n	Автоматичне виявлення знайшло з’єднань: {0}.\n
Discovered Connections	Виявлені з’єднання
Terminals	Terminals
Unable to open path:\n'{0}'	Не вдалося відкрити шлях:\n«{0}»
Write Access is denied to:\n{0}\n	Немає доступу на запис до:\n{0}\n
Terminals was able to automatically upgrade your existing connections.	Terminals автоматично оновив ваші наявні з’єднання.
Terminals was NOT able to automatically upgrade your existing connections.\nError:{0}	Terminals НЕ вдалося автоматично оновити ваші наявні з’єднання.\nПомилка: {0}
Terminals database connection failed	Не вдалося підключитися до бази даних Terminals
Do you wan't to start with local files store?\nYes - start with files store (You will be able to fix the configuration.)\nNo - Exit application	Запустити програму з локальним файловим сховищем?\nТак - запустити з файловим сховищем (конфігурацію можна буде виправити)\nНі - вийти з програми
Application was not able to upgrade your passwords to version 2, because your master password isn't valid.	Програмі не вдалося оновити паролі до версії 2, бо головний пароль неправильний.
Terminals was unable to save your toolstrip settings.	Terminals не вдалося зберегти налаштування панелей інструментів.
Could not connect to the server. Reason:{0}	Не вдалося підключитися до сервера. Причина: {0}
Unable to apply {0} to favorites	Не вдалося застосувати {0} до з’єднань
Terminals Update	Оновлення Terminals
&Update now	&Оновити зараз
&Release page	Сторінка &випуску
&Skip this version	&Пропустити цю версію
&Later	&Пізніше
Terminals {0} is available (you have {1}).\nPublished {2:d}	Доступна версія Terminals {0} (у вас {1}).\nОпубліковано {2:d}
No release notes.	Немає опису випуску.
Update downloads {0} ({1}), Terminals will be restarted.	Буде завантажено {0} ({1}), Terminals буде перезапущено.
installer	інсталятор
portable package	портативний пакет
Automatic update isn't possible, application directory is read only. Download the release manually.	Автоматичне оновлення неможливе: тека програми доступна лише для читання. Завантажте випуск вручну.
The release doesn't contain package for this installation type. Download the release manually.	Випуск не містить пакета для цього типу встановлення. Завантажте випуск вручну.
Downloading {0}...	Завантаження {0}...
Download was cancelled.	Завантаження скасовано.
Verifying the downloaded package...	Перевірка завантаженого пакета...
Unable to start the download: {0}	Не вдалося почати завантаження: {0}
Download failed: {0}	Помилка завантаження: {0}
Downloaded package is not valid: {0}	Завантажений пакет пошкоджено: {0}
Unable to start the download	Не вдалося почати завантаження
Download failed	Помилка завантаження
Downloaded package is not valid	Завантажений пакет пошкоджено
Unable to check for updates. See the log file for details.	Не вдалося перевірити оновлення. Подробиці див. у файлі журналу.
You are using the latest version {0}.	У вас остання версія {0}.
Unable to apply the update: {0}	Не вдалося застосувати оновлення: {0}
The update was canceled, because Terminals wasn't closed.	Оновлення скасовано, бо Terminals не було закрито.
# ---------- Grid columns ----------
UserName	Ім’я користувача
ComputerName	Ім’я комп’ютера
OperatingSystem	Операційна система
HostName	Ім’я вузла
IPAddress	IP-адреса
ServiceName	Служба
